company_name,year,sales,profit,rprofit,totalassets,totalliabilities,sequity,mnc,psic_5,exporter,nationality,bind,aki_16,
City Supermarket Inc.,2018,2.63,0.00,0.15,1.11,1.08,0.03,0,47112,0,Filipino,SERV,TRD,
City Supermarket Inc.,2020,2.70,0.00,0.15,1.15,1.12,0.03,0,47112,0,Filipino,SERV,TRD,
City Supermarket Inc.,2021,2.60,0.00,0.12,1.14,1.10,0.02,,,,Filipino,SERV,,
Civic Merchandising Inc.,2018,3.59,0.05,1.28,3.25,2.85,0.40,0,46592,0,Filipino,SERV,TRD,
Civic Merchandising Inc.,2021,3.71,0.09,2.37,3.03,2.45,0.34,0,46594,0,Filipino,SERV,TRD,
Civil Aviation Authority of the Philippines,2018,10.22,2.47,24.16,69.73,2.66,67.07,0,84130,0,Filipino,SERV,PUB,
Civil Aviation Authority of the Philippines,2019,10.54,2.29,21.69,70.07,4.18,65.89,0,84130,0,Filipino,SERV,PUB,
Civil Aviation Authority of the Philippines,2020,3.66,-2.78,-75.88,60.23,3.50,56.73,0,84130,0,Filipino,SERV,PUB,
Civil Aviation Authority of the Philippines,2021,4.64,-1.41,-30.33,59.20,3.74,-20.60,0,85402,0,Filipino,SERV,EDU,
CJ Philippines Inc.,2018,3.83,0.08,2.01,2.32,0.95,1.37,1,10800,0,Korean,MFG,MFG,
CJ Philippines Inc.,2019,4.18,0.16,3.75,2.35,0.84,1.52,1,10800,0,Korean,MFG,MFG,
CJ Philippines Inc.,2021,5.05,0.08,1.53,2.67,1.01,1.56,1,11010,0,Korean,MFG,MFG,
Clark Electric Distribution Corporation,2018,2.60,0.23,8.76,2.69,1.15,1.54,0,35100,0,Filipino,SERV,EWS,
Clark Electric Distribution Corporation,2019,3.09,0.29,9.22,2.94,1.19,1.75,0,35100,0,Filipino,SERV,EWS,
Clark Electric Distribution Corporation,2020,2.44,0.23,9.39,3.20,1.23,1.97,0,35100,0,Filipino,SERV,EWS,
Clark Electric Distribution Corporation,2021,2.57,0.24,9.15,3.38,1.23,1.44,0,35200,0,Filipino,SERV,EWS,
C.M. Pancho Construction Inc.,2018,2.83,0.14,5.05,3.87,2.73,1.14,0,42100,0,Filipino,SERV,CNS,
Coca-Cola Beverages Philippines Inc.,2018,74.12,3.06,4.13,67.19,26.25,40.95,1,11041,0,American,MFG,MFG,
Coca-Cola Beverages Philippines Inc.,2019,84.20,2.85,3.39,77.87,34.50,43.37,1,11041,0,American,MFG,MFG,
Coca-Cola Beverages Philippines Inc.,2020,82.64,3.61,4.37,83.30,36.58,46.72,1,11041,0,American,MFG,MFG,
Coca-Cola Beverages Philippines Inc.,2021,87.27,3.06,3.51,87.99,54.76,9.52,1,11042,0,American,MFG,MFG,
Coca-Cola Far East Ltd.,2018,4.90,0.13,2.69,2.78,2.25,0.53,1,70100,1,American,SERV,PRO,
Coca-Cola Far East Ltd.,2019,5.37,0.19,3.52,3.49,2.80,0.70,1,70100,1,American,SERV,PRO,
Coca-Cola Far East Ltd.,2020,4.05,0.14,3.43,2.42,1.72,0.70,1,70100,1,American,SERV,PRO,
Coca-Cola Far East Ltd.,2021,4.38,0.21,4.80,2.95,2.04,1.04,1,70200,0,American,SERV,PRO,
Coco Davao Inc.,2018,2.42,0.19,7.64,1.09,0.10,1.00,0,10420,1,Filipino,MFG,MFG,
Coco Davao Inc.,2021,2.32,0.06,2.50,1.31,0.09,0.25,0,10410,0,Filipino,MFG,MFG,
Cognizant Technology Solutions Philippines Inc.,2018,7.11,0.58,8.14,2.97,1.19,1.78,1,82211,1,American,SERV,PRO,
Cognizant Technology Solutions Philippines Inc.,2019,8.18,0.54,6.58,4.60,2.19,2.41,1,82211,1,American,SERV,PRO,
Cognizant Technology Solutions Philippines Inc.,2020,10.07,0.57,5.69,6.92,3.88,3.04,1,82211,1,American,SERV,PRO,
Cognizant Technology Solutions Philippines Inc.,2021,11.26,0.88,7.78,7.90,4.14,1.66,1,82219,1,American,SERV,PRO,
Colgate-Palmolive Philippines Inc.,2018,16.01,0.46,2.88,3.97,2.67,1.31,1,46427,0,American,SERV,TRD,
Colgate-Palmolive Philippines Inc.,2019,16.90,0.51,3.04,3.76,3.21,0.55,1,46427,0,American,SERV,TRD,
Colgate-Palmolive Philippines Inc.,2020,17.26,0.49,2.84,5.39,4.70,0.69,1,46427,0,American,SERV,TRD,
Colgate-Palmolive Philippines Inc.,2021,17.98,0.58,3.25,6.50,5.20,0.84,1,46428,0,American,SERV,TRD,
Colinas Verdes Hospital Managers Corporation,2018,2.91,0.32,10.89,2.06,1.44,0.62,0,86121,0,Filipino,SERV,HSW,
Colinas Verdes Hospital Managers Corporation,2019,3.21,0.40,12.38,2.44,1.74,0.70,0,86121,0,Filipino,SERV,HSW,
Colinas Verdes Hospital Managers Corporation,2020,2.92,0.23,7.73,2.44,1.86,0.58,0,86121,0,Filipino,SERV,HSW,
Colinas Verdes Hospital Managers Corporation,2021,3.93,0.40,10.16,2.84,2.26,0.54,0,86225,0,Filipino,SERV,HSW,
Columbia International Food Products Inc.,2018,2.55,0.05,1.96,1.46,0.87,0.59,0,10732,0,Filipino,MFG,MFG,
Columbia International Food Products Inc.,2019,2.54,0.06,2.36,1.36,0.73,0.63,0,10732,0,Filipino,MFG,MFG,
Columbia International Food Products Inc.,2020,1.98,0.04,1.77,1.36,0.73,0.64,0,10732,0,Filipino,MFG,MFG,
Columbia Wire & Cable Corporation,2018,2.30,0.04,1.87,0.87,0.48,0.39,0,27320,0,Filipino,MFG,MFG,
Columbia Wire & Cable Corporation,2021,2.29,0.07,3.19,1.19,0.71,0.24,0,27509,0,Filipino,MFG,MFG,
Commonwealth Foods Inc.,2018,3.20,0.43,13.45,3.30,0.37,2.93,0,10712,0,Filipino,MFG,MFG,
Commonwealth Foods Inc.,2019,3.37,0.44,13.13,3.67,0.40,3.27,0,10712,0,Filipino,MFG,MFG,
Commonwealth Foods Inc.,2020,3.00,0.34,11.36,3.85,0.34,3.51,0,10712,0,Filipino,MFG,MFG,
Commonwealth Foods Inc.,2021,3.30,0.50,15.11,4.38,0.39,3.37,0,10714,0,Filipino,MFG,MFG,
Communities Bulacan Inc.,2019,2.72,0.94,34.53,5.13,2.53,2.61,0,68120,0,Filipino,SERV,REO,
Communities Davao Inc.,2019,2.13,0.61,28.64,6.52,3.84,2.67,0,68120,0,Filipino,SERV,REO,
Communities Philippines Inc.,2018,2.53,2.38,94.14,12.65,11.52,1.13,0,68120,0,Filipino,SERV,REO,
ComWorks Inc.,2018,5.38,0.00,0.07,0.34,0.20,0.14,0,46526,0,Filipino,SERV,TRD,
ComWorks Inc.,2020,6.08,0.01,0.21,0.37,0.21,0.16,0,46526,0,Filipino,SERV,TRD,
ComWorks Inc.,2021,5.11,0.02,0.37,0.48,0.30,0.06,0,46591,0,Filipino,SERV,TRD,
Concentrix CVG Philippines Inc.,2018,34.73,4.33,12.48,32.12,17.83,14.29,1,82211,1,American,SERV,PRO,
Concentrix Daksh Services Philippines Corporation,2018,11.70,0.88,7.48,4.67,1.97,2.70,1,82211,1,American,SERV,PRO,
Concentrix Daksh Services Philippines Corporation,2019,13.12,1.65,12.59,6.03,1.69,4.34,1,82211,1,American,SERV,PRO,
Concentrix Daksh Services Philippines Corporation,2020,14.08,0.53,3.76,8.49,3.64,4.85,1,82211,1,American,SERV,PRO,
Concentrix Daksh Services Philippines Corporation,2021,16.97,1.88,11.08,11.11,4.28,6.34,1,82219,0,American,SERV,PRO,
Concentrix Services Corporation,2018,3.16,0.22,6.92,1.42,0.64,0.78,1,82211,1,American,SERV,PRO,
Concentrix Services Corporation,2021,4.64,0.20,4.24,2.22,1.10,-0.39,1,82219,1,American,SERV,PRO,
Concepcion Durables Inc.,2018,3.87,0.28,7.22,2.40,0.82,1.58,0,27502,0,Filipino,MFG,MFG,
Concepcion Durables Inc.,2019,4.47,0.38,8.47,2.77,0.96,1.81,0,27502,0,Filipino,MFG,MFG,
Concepcion Durables Inc.,2020,3.86,0.33,8.60,3.07,1.11,1.96,0,27502,0,Filipino,MFG,MFG,
Concepcion Durables Inc.,2021,4.36,0.21,4.75,2.97,1.01,1.02,0,27502,0,Filipino,MFG,MFG,
Concepcion Midea Inc.,2020,2.20,0.05,2.18,1.27,1.04,0.24,1,28193,0,Chinese,MFG,MFG,
Concepcion Midea Inc.,2021,2.92,-0.04,-1.34,1.39,1.20,-0.31,1,28211,0,Chinese,MFG,MFG,
Concur (Philippines) Inc.,2020,2.97,0.22,7.54,1.62,0.96,0.66,1,82211,0,German,SERV,PRO,
Concur (Philippines) Inc.,2021,2.98,0.14,4.70,1.74,0.85,0.85,1,82219,0,German,SERV,PRO,
Conduent Business Services Philippines Inc.,2018,4.05,0.18,4.42,1.69,0.48,1.21,1,82211,1,American,SERV,PRO,
Conduent Business Services Philippines Inc.,2019,3.98,0.24,6.01,2.49,1.07,1.42,1,82211,1,American,SERV,PRO,
Conduent Business Services Philippines Inc.,2020,3.81,0.11,2.78,2.67,1.14,1.53,1,82211,1,American,SERV,PRO,
Conduent Business Services Philippines Inc.,2021,3.82,0.09,2.46,2.71,1.04,1.31,1,82219,1,American,SERV,PRO,
Connell Bros. Co. (Pilipinas) Inc.,2018,2.24,0.15,6.48,1.30,0.56,0.75,1,46691,0,American,SERV,TRD,
Connell Bros. Co. (Pilipinas) Inc.,2019,2.26,0.10,4.33,1.31,0.47,0.84,1,46691,0,American,SERV,TRD,
Connell Bros. Co. (Pilipinas) Inc.,2020,2.03,0.10,4.73,1.23,0.39,0.85,1,46691,0,American,SERV,TRD,
Consolidated Global Imports Inc.,2018,4.72,0.00,-0.04,0.32,0.33,-0.02,0,47114,0,Filipino,SERV,TRD,
Consolidated Global Imports Inc.,2019,5.65,0.00,0.00,0.58,0.59,-0.02,0,47114,0,Filipino,SERV,TRD,
Consolidated Global Imports Inc.,2020,2.92,0.04,1.41,0.05,0.02,0.02,0,47114,0,Filipino,SERV,TRD,
Consumer Care Products Inc.,2020,1.74,0.27,15.43,0.94,0.45,0.49,0,20299,0,Filipino,MFG,MFG,
Continental Temic Electronics (Phils.) Inc.,2018,25.22,7.05,27.96,17.04,4.57,12.47,1,29302,1,German,MFG,MFG,
Continental Temic Electronics (Phils.) Inc.,2019,28.71,8.88,30.93,19.59,4.25,15.34,1,29302,1,German,MFG,MFG,
Continental Temic Electronics (Phils.) Inc.,2020,23.38,7.10,30.37,14.73,4.82,9.91,1,29302,1,German,MFG,MFG,
Continental Temic Electronics (Phils.) Inc.,2021,22.18,5.94,26.76,13.32,4.54,6.60,1,30309,1,German,MFG,MFG,
Convenience Distribution Inc.,2019,2.46,0.04,1.79,0.97,0.71,0.26,1,47114,0,Taiwanese,SERV,TRD,
Convenience Distribution Inc.,2020,2.17,-0.01,-0.64,0.84,0.59,0.24,1,52293,0,Taiwanese,SERV,TAS,
Converge ICT Solutions Inc.,2018,5.11,1.32,25.85,12.71,8.14,4.57,0,61102,0,Filipino,SERV,IAC,
Converge ICT Solutions Inc.,2019,9.23,1.98,21.51,31.34,18.66,12.68,0,61102,0,Filipino,SERV,IAC,
Converge Information and Communications Technology Solutions Inc.,2020,16.63,4.01,24.12,55.64,26.47,29.18,0,61102,0,Filipino,SERV,IAC,
Converge Information and Communications Technology Solutions Inc.,2021,26.60,7.22,27.16,82.03,45.45,15.76,0,61300,0,Filipino,SERV,IAC,
Convergys Singapore Holdings Pte. Ltd.,2018,2.34,0.25,10.51,1.26,1.12,0.14,1,70100,0,American,SERV,PRO,
Coral Bay Nickel Corporation,2018,15.68,3.00,19.16,32.84,1.43,31.40,1,7294,0,Japanese,MAQ,MAQ,
Coral Bay Nickel Corporation,2019,11.83,-0.60,-5.05,30.28,1.66,28.62,1,7294,0,Japanese,MAQ,MAQ,
Coral Bay Nickel Corporation,2020,10.92,-0.44,-4.00,28.26,1.66,26.60,1,7294,0,Japanese,MAQ,MAQ,
Coral Bay Nickel Corporation,2021,14.89,1.50,10.05,31.99,4.87,19.82,1,24311,0,Japanese,MFG,MFG,
Corteva Agriscience Philippines Inc.,2020,2.10,-0.68,-32.35,7.07,3.77,3.29,1,1300,0,American,AFF,AFF,
Cosmetique Asia Corporation,2018,2.98,0.14,4.66,1.08,0.49,0.60,0,20234,0,Filipino,MFG,MFG,
Cosmetique Asia Corporation,2019,3.18,0.14,4.53,1.49,0.76,0.72,0,20234,0,Filipino,MFG,MFG,
Cosmetique Asia Corporation,2020,3.07,0.14,4.63,1.36,0.51,0.85,0,20234,0,Filipino,MFG,MFG,
Cosmetique Asia Corporation,2021,3.41,0.19,5.57,1.40,0.36,0.32,0,20291,0,Filipino,MFG,MFG,
The Covenant Car Co. Inc.,2018,5.00,0.01,0.14,3.94,2.94,1.00,0,45101,0,Filipino,SERV,TRD,
The Covenant Car Co. Inc.,2019,7.61,0.07,0.96,5.07,4.02,1.05,0,45101,0,Filipino,SERV,TRD,
The Covenant Car Co. Inc.,2020,2.93,-0.29,-9.76,3.46,2.70,0.76,0,45101,0,Filipino,SERV,TRD,
The Covenant Car Co. Inc.,2021,4.93,0.18,3.55,3.79,2.85,0.15,0,45109,0,Filipino,SERV,TRD,
CPW Philippines Inc.,2018,2.58,0.25,9.63,2.99,3.08,-0.09,0,10623,0,Filipino,MFG,MFG,
CPW Philippines Inc.,2019,2.61,0.09,3.49,2.48,2.62,-0.14,0,10623,0,Filipino,MFG,MFG,
CPW Philippines Inc.,2020,2.74,0.12,4.27,2.69,2.71,-0.02,0,10623,0,Filipino,MFG,MFG,
CPW Philippines Inc.,2021,2.51,0.15,5.78,2.59,2.47,0.11,1,10711,0,Swiss and American,MFG,MFG,
Crescita United Inc.,2019,2.67,2.67,99.85,23.54,1.23,22.31,0,64200,0,Filipino,SERV,FIA,
Crescita United Inc.,2020,1.79,1.78,99.83,24.65,1.22,23.43,0,64200,0,Filipino,SERV,FIA,
Crestec Philippines Inc.,2019,1.98,0.03,1.57,0.78,0.50,0.27,1,58190,1,Japanese,SERV,IAC,
Crestec Philippines Inc.,2020,1.73,0.04,2.03,0.96,0.67,0.30,1,58190,1,Japanese,SERV,IAC,
CSI Warehouse Club Inc.,2018,4.86,0.02,0.37,2.36,2.27,0.08,0,47112,0,Filipino,SERV,TRD,
CSI Warehouse Club Inc.,2020,5.50,0.02,0.29,2.62,2.50,0.11,0,47112,0,Filipino,SERV,TRD,
CSI Warehouse Club Inc.,2021,6.13,0.02,0.34,2.50,2.37,0.10,0,47114,0,Filipino,SERV,TRD,
CTBC Bank (Philippines) Corporation,2018,3.07,0.24,7.73,54.38,47.01,7.36,1,64192,0,Taiwanese,SERV,FIA,
CTBC Bank (Philippines) Corporation,2019,3.90,0.33,8.49,55.67,46.28,9.38,1,64192,0,Taiwanese,SERV,FIA,
CTBC Bank (Philippines) Corporation,2020,3.68,0.19,5.06,51.45,40.54,10.91,1,64192,0,Taiwanese,SERV,FIA,
CTBC Bank (Philippines) Corporation,2021,3.02,0.01,0.36,52.91,42.24,5.47,1,64193,0,Taiwanese,SERV,FIA,
CT Citimotors Inc.,2018,7.34,0.07,0.89,2.70,2.34,0.36,0,45101,0,Filipino,SERV,TRD,
CT Citimotors Inc.,2019,6.38,0.05,0.72,2.79,2.41,0.38,0,45101,0,Filipino,SERV,TRD,
CT Citimotors Inc.,2020,3.23,0.03,0.77,3.08,2.71,0.36,0,45101,0,Filipino,SERV,TRD,
CT Citimotors Inc.,2021,3.82,0.01,0.26,2.16,1.79,0.14,0,45109,0,Filipino,SERV,TRD,
CTP Construction and Mining Corporation,2018,2.96,0.07,2.46,0.96,0.49,0.47,0,42100,0,Filipino,SERV,CNS,
CTP Construction and Mining Corporation,2020,5.92,0.12,2.08,1.29,0.58,0.71,0,7294,1,Filipino,MAQ,MAQ,
CTP Construction and Mining Corporation,2021,8.41,0.15,1.83,1.06,0.20,0.67,0,9101,1,Filipino,MAQ,MAQ,
CW Marketing and Development Corporation,2020,3.82,0.01,0.34,7.68,6.35,1.34,0,47521,0,Filipino,SERV,TRD,
CW Marketing and Development Corporation,2021,4.35,-0.06,-1.42,6.99,5.59,0.65,0,47521,0,Filipino,SERV,TRD,
Cyberzone Properties Inc.,2018,2.41,1.41,58.58,19.28,12.56,6.72,0,68190,0,Filipino,SERV,REO,
Cyberzone Properties Inc.,2019,2.91,1.63,56.11,22.19,14.22,7.97,0,68190,0,Filipino,SERV,REO,
Cygnus Industries Inc.,2018,2.43,0.00,0.08,3.69,2.88,0.80,0,22201,0,Filipino,MFG,MFG,
Cygnus Industries Inc.,2019,2.44,0.01,0.45,3.52,2.65,0.87,0,22201,0,Filipino,MFG,MFG,
Cygnus Industries Inc.,2020,1.96,0.01,0.31,2.97,2.09,0.87,0,22201,0,Filipino,MFG,MFG,
Cypress Manufacturing Ltd.,2018,2.43,0.03,1.03,2.06,0.71,1.36,1,26120,1,American,MFG,MFG,
Cypress Manufacturing Ltd.,2019,2.34,0.06,2.52,2.27,0.67,1.60,1,26120,1,American,MFG,MFG,
Cypress Manufacturing Ltd.,2020,2.58,0.09,3.64,2.41,0.90,1.51,1,26120,1,German,MFG,MFG,
Cypress Manufacturing Ltd.,2021,2.85,0.16,5.55,2.72,0.90,-0.11,1,26200,1,German,MFG,MFG,
D&L Industries Inc.,2018,2.56,1.99,77.72,11.73,0.55,11.18,0,64200,0,Filipino,SERV,FIA,
D&L Industries Inc.,2019,2.57,1.98,77.00,11.70,0.59,11.11,0,64200,0,Filipino,SERV,FIA,
D&L Industries Inc.,2020,1.88,1.30,69.39,11.72,0.64,11.09,0,64200,0,Filipino,SERV,FIA,
D&L Polymer and Colours Inc.,2018,2.99,0.63,20.89,2.04,0.79,1.25,0,20299,1,Filipino,MFG,MFG,
D&L Polymer and Colours Inc.,2019,2.63,0.50,18.84,1.91,0.42,1.49,0,20299,1,Filipino,MFG,MFG,
D&L Polymer and Colours Inc.,2020,2.13,0.38,17.98,1.81,0.43,1.38,0,20299,1,Filipino,MFG,MFG,
D&L Polymer and Colours Inc.,2021,2.64,0.55,20.69,2.22,0.52,1.19,0,21001,1,Filipino,MFG,MFG,
Daelim Philippines Inc.,2018,3.62,-1.67,-46.02,4.73,4.38,0.35,0,42900,0,Filipino,SERV,CNS,
Dagupan Electric Corporation,2018,2.89,0.24,8.43,3.70,0.96,2.74,0,35100,0,Filipino,SERV,EWS,
Dagupan Electric Corporation,2021,3.42,0.28,8.27,4.75,1.07,2.03,0,35200,0,Filipino,SERV,EWS,
Daiho Phils. Inc.,2018,3.08,0.02,0.68,3.00,1.42,1.58,1,28223,1,Japanese,MFG,MFG,
Daiho Phils. Inc.,2019,2.53,0.05,1.90,2.99,1.42,1.57,1,28223,1,Japanese,MFG,MFG,
Daiho Phils. Inc.,2020,1.85,-0.03,-1.41,2.64,1.18,1.47,1,28223,1,Japanese,MFG,MFG,
Daiwa Seiko Philippines Corporation,2018,2.34,0.07,3.04,2.56,1.30,1.26,1,29302,1,Japanese,MFG,MFG,
DATEM Inc.,2018,8.34,0.57,6.79,9.81,6.56,3.25,0,41002,0,Filipino,SERV,CNS,
DATEM Inc.,2019,8.39,0.48,5.76,9.84,6.25,3.59,0,41002,0,Filipino,SERV,CNS,
DATEM Inc.,2020,3.63,0.40,10.95,10.04,6.15,3.89,0,41002,0,Filipino,SERV,CNS,
Davao Agricultural Ventures Corporation,2019,2.18,0.02,0.78,2.44,0.75,1.69,1,1220,1,Caymanian,AFF,AFF,
Davao Agricultural Ventures Corporation,2020,2.33,0.01,0.30,2.46,0.78,1.67,1,1220,1,Caymanian,AFF,AFF,
Davao Agricultural Ventures Corporation,2021,2.57,-0.01,-0.43,2.46,0.78,0.36,1,1450,1,Caymanian,AFF,AFF,
Davao Central Warehouse Club Inc.,2018,2.39,0.01,0.54,0.67,0.45,0.22,0,47112,0,Filipino,SERV,TRD,
Davao Central Warehouse Club Inc.,2021,3.41,0.02,0.70,0.57,0.30,0.15,0,47114,0,Filipino,SERV,TRD,
Davao Doctors Hospital (Clinica Hilario) Inc.,2019,2.08,0.27,12.96,2.47,0.65,1.81,0,86121,0,Filipino,SERV,HSW,
Davao International Container Terminal Inc.,2019,1.89,0.42,22.29,6.11,3.03,3.08,0,52241,0,Filipino,SERV,TAS,
Davao International Container Terminal Inc.,2020,1.88,0.35,18.57,6.54,3.29,3.25,0,52241,0,Filipino,SERV,TAS,
Davao Light & Power Co. Inc.,2018,19.14,1.59,8.29,16.73,11.91,4.82,0,35100,0,Filipino,SERV,EWS,
Davao Light & Power Co. Inc.,2019,19.63,1.55,7.91,18.32,13.44,4.88,0,35100,0,Filipino,SERV,EWS,
Davao Light & Power Co. Inc.,2020,18.81,1.27,6.75,20.83,14.81,6.02,0,35100,0,Filipino,SERV,EWS,
Davao Light & Power Co. Inc.,2021,20.35,1.31,6.42,21.37,15.48,1.69,0,35200,0,Filipino,SERV,EWS,
Davao Packaging Corporation,2020,1.63,0.06,3.69,2.76,1.21,1.55,0,17020,0,Filipino,MFG,MFG,
Davies Paints Philippines Inc.,2018,7.32,0.22,3.01,5.73,5.03,0.69,0,20221,0,Filipino,MFG,MFG,
Davies Paints Philippines Inc.,2019,7.53,0.26,3.40,5.82,5.18,0.65,0,20221,0,Filipino,MFG,MFG,
Davies Paints Philippines Inc.,2020,6.21,0.31,4.94,6.59,5.63,0.95,0,20221,0,Filipino,MFG,MFG,
Davies Paints Philippines Inc.,2021,8.37,0.51,6.11,7.69,6.28,0.75,0,20231,0,Filipino,MFG,MFG,
DDMP REIT Inc.,2020,7.36,5.09,69.14,45.35,9.84,35.52,0,68190,0,Filipino,SERV,REO,
DDMP REIT Inc.,2021,7.70,7.17,93.18,50.19,9.21,23.15,0,64910,0,Filipino,SERV,FIA,
DDT Konstract Inc.,2018,9.40,0.23,2.40,15.72,12.98,2.74,0,41002,0,Filipino,SERV,CNS,
DDT Konstract Inc.,2019,10.71,0.33,3.04,21.49,17.46,4.03,0,41002,0,Filipino,SERV,CNS,
DDT Konstract Inc.,2021,5.39,-0.82,-15.26,20.78,19.35,-1.47,0,42100,0,Filipino,SERV,CNS,
Dearborn Motors Co. Inc.,2019,5.95,0.06,1.08,3.07,2.20,0.87,0,45101,0,Filipino,SERV,TRD,
Dearborn Motors Co. Inc.,2020,3.84,-0.03,-0.70,2.82,2.00,0.81,0,45101,0,Filipino,SERV,TRD,
Dearborn Motors Co. Inc.,2021,5.14,0.22,4.20,2.60,1.59,0.53,0,45109,0,Filipino,SERV,TRD,
Delfi Marketing Inc.,2019,2.26,0.00,0.13,0.93,0.81,0.12,1,46302,0,Singaporean,SERV,TRD,
Delfi Marketing Inc.,2020,2.12,0.00,0.14,0.87,0.76,0.12,1,46302,0,Singaporean,SERV,TRD,
Delinanas Development Corporation,2019,1.90,-0.91,-48.03,3.85,7.76,-3.92,1,1211,1,Caymanian,AFF,AFF,
Delinanas Development Corporation,2020,1.88,-0.45,-24.09,3.59,7.96,-4.37,1,1211,1,Caymanian,AFF,AFF,
Delivery Hero Philippines Inc.,2021,11.15,-3.93,-35.28,4.36,14.12,-9.76,1,55101,0,Luxembourger,SERV,AFS,
Del Monte Pacific Ltd.,2021,6.56,5.20,79.23,55.86,33.65,7.32,1,64304,0,British Virgin Islander,SERV,FIA,
Delta Air Lines Inc.,2018,3.32,-1.51,-45.46,0.04,0.10,-0.05,1,51102,0,American,SERV,TAS,
Delta Air Lines Inc.,2019,3.23,-1.57,-48.48,0.06,0.14,-0.08,1,51102,0,American,SERV,TAS,
Delta Earthmoving Inc.,2018,3.13,0.17,5.40,5.15,3.24,1.91,0,9900,1,Filipino,MAQ,MAQ,
Delta Earthmoving Inc.,2019,3.20,0.07,2.09,4.72,2.64,2.07,0,9900,1,Filipino,MAQ,MAQ,
Delta Earthmoving Inc.,2020,2.25,-0.12,-5.16,4.15,2.18,1.97,0,9900,1,Filipino,MAQ,MAQ,
Delta Earthmoving Inc.,2021,3.76,0.21,5.45,4.77,2.38,1.89,0,10110,0,Filipino,MFG,MFG,
Denso Philippines Corporation,2020,8.43,0.07,0.84,6.85,3.78,3.07,1,29302,1,Japanese,MFG,MFG,
Denso Philippines Corporation,2021,11.14,0.66,5.92,8.25,4.34,2.51,1,30309,1,Japanese,MFG,MFG,
Denso Ten Philippines Corporation,2018,9.51,0.06,0.60,2.67,2.33,0.34,1,29302,0,Japanese,MFG,MFG,
Denso Ten Philippines Corporation,2020,12.85,0.73,5.69,4.50,3.19,1.32,1,29302,1,Japanese,MFG,MFG,
Denso Ten Philippines Corporation,2021,16.16,1.08,6.66,7.07,5.35,1.46,1,30309,1,Japanese,MFG,MFG,
Deutsche Bank AG – Manila Branch,2019,3.34,0.83,24.82,47.65,41.62,6.02,1,64191,0,German,SERV,FIA,
Deutsche Knowledge Services Pte. Ltd.,2018,3.72,0.21,5.65,4.08,3.61,0.48,1,70100,1,German,SERV,PRO,
Deutsche Knowledge Services Pte. Ltd.,2020,3.13,0.16,5.24,4.34,3.63,0.71,1,70100,1,German,SERV,PRO,
Deutsche Knowledge Services Pte. Ltd.,2021,3.13,0.47,15.10,4.95,4.21,0.49,1,70200,0,German,SERV,PRO,
Development Bank of the Philippines,2018,26.06,5.72,21.96,669.59,617.87,51.72,0,64191,0,Filipino,SERV,FIA,
Development Bank of the Philippines,2019,32.84,5.60,17.07,761.24,701.42,59.83,0,64191,0,Filipino,SERV,FIA,
Development Bank of the Philippines,2020,33.50,3.54,10.58,1042.41,977.95,64.45,0,64191,0,Filipino,SERV,FIA,
Development Bank of the Philippines,2021,36.81,3.74,10.16,1160.12,1082.44,0.24,0,64192,0,Filipino,SERV,FIA,
DFC Holdings Inc.,2018,2.81,2.81,99.93,45.62,0.14,45.48,0,64200,0,Filipino,SERV,FIA,
DFC Holdings Inc.,2021,2.94,2.89,98.26,39.46,0.00,5.37,0,64304,0,Filipino,SERV,FIA,
DHL Express (Philippines) Corporation,2018,4.73,0.07,1.48,1.88,1.39,0.49,1,52291,0,German,SERV,TAS,
DHL Express (Philippines) Corporation,2019,5.05,0.07,1.29,2.07,1.53,0.54,1,52291,0,German,SERV,TAS,
DHL Express (Philippines) Corporation,2020,5.98,0.07,1.22,1.90,1.38,0.51,1,52291,0,German,SERV,TAS,
DHL Express (Philippines) Corporation,2021,8.77,0.09,1.05,2.76,2.28,0.25,1,52293,0,German,SERV,TAS,
DHL Global Forwarding (Philippines) Inc.,2018,3.38,0.24,7.11,1.27,0.98,0.28,1,52291,0,German,SERV,TAS,
DHL Global Forwarding (Philippines) Inc.,2019,3.58,0.15,4.21,1.30,1.06,0.24,1,52291,0,German,SERV,TAS,
DHL Global Forwarding (Philippines) Inc.,2020,3.37,0.11,3.17,1.33,0.99,0.34,1,52291,0,German,SERV,TAS,
DHL Global Forwarding (Philippines) Inc.,2021,4.20,0.27,6.45,1.44,0.99,0.42,1,52293,0,German,SERV,TAS,
Diageo Philippines Inc.,2018,2.38,0.10,4.32,1.09,0.77,0.31,1,46102,0,British,SERV,TRD,
Diageo Philippines Inc.,2019,2.21,0.18,8.04,1.41,0.92,0.49,1,46102,0,British,SERV,TRD,
Diageo Philippines Inc.,2020,1.99,0.01,0.55,0.84,0.46,0.38,1,46102,0,British,SERV,TRD,
Diamond Motor Corporation,2018,10.62,0.01,0.07,4.65,4.31,0.34,0,45101,0,Filipino,SERV,TRD,
Diamond Motor Corporation,2020,3.70,-0.06,-1.62,2.25,1.97,0.28,0,45101,0,Filipino,SERV,TRD,
Diamond Motor Corporation,2021,3.92,0.02,0.54,1.30,1.04,0.04,0,45109,0,Filipino,SERV,TRD,
Digital Telecommunications Phils. Inc.,2018,5.47,3.59,65.59,40.10,26.79,13.31,0,61101,0,Filipino,SERV,IAC,
